from_id,to_id,travel_time,routes,board_stops,alight_stops,ride_times,access_time,egress_time,transfer_time,wait_times,total_time,n_iterations
4217,14995,89.0,"['C09', 'L1', 'L2R', '506']","['PC813', '40', '44', 'PA450']","['PC1064', '44', '70', 'PA452']","[31.4, 21.5, 2.6, 3.0]",13.9,4.6,2.8,"[4.7, 2.3, 1.3, 1.9]",90.1,1
4218,14995,96.0,"['C14', '415e', 'L1', 'L2', '506e']","['PC1071', 'PC103', '58', '44', 'PA450']","['PC103', 'PC105', '44', '70', 'PA452']","[16.9, 2.3, 18.3, 2.8, 2.4]",35.9,4.6,5.8,"[1.6, 1.3, 1.9, 1.4, 1.5]",96.6,1
4219,14995,,[],[],[],[],,,,[],,
4220,14995,51.0,"['417e', 'L1', 'L2R', '507']","['PC322', '58', '44', 'PA450']","['PC105', '44', '70', 'PA322']","[3.6, 18.3, 2.6, 3.6]",4.4,3.3,5.8,"[2.5, 1.4, 3.4, 2.5]",51.3,11
4221,14995,51.0,"['L1', '507']","['58', 'PA335']","['38', 'PA433']","[20.9, 6.8]",18.5,3.4,1.8,"[1.4, 1.5]",54.2,1
4222,14995,62.0,"['F20', 'L4R', 'L5V', '506']","['PF75', '34', '98', 'PD564']","['PF272', '98', '35', 'PA452']","[4.1, 9.3, 14.1, 13.4]",7.6,4.6,4.4,"[1.5, 1.9, 1.6, 1.0]",63.4,1
4223,14995,,[],[],[],[],,,,[],,
4224,14995,32.0,"['L1', 'L2R', '506']","['23', '44', 'PA450']","['44', '70', 'PA452']","[7.3, 2.6, 3.0]",11.8,4.6,1.3,"[1.4, 1.6, 2.0]",35.6,4
4225,14995,46.0,"['L1', '507']","['93', 'PA335']","['38', 'PA433']","[15.2, 6.8]",17.6,3.4,1.8,"[2.3, 1.9]",49.0,4
4226,14995,54.0,"['216', 'L1', 'L2R', '506']","['PC103', '58', '44', 'PA450']","['PC105', '44', '70', 'PA452']","[2.3, 18.3, 2.6, 3.0]",9.7,4.6,5.8,"[2.7, 1.3, 1.9, 1.5]",53.8,4
4227,14995,95.0,"['C14', 'L1', 'L2R', '506']","['PC1078', '27', '44', 'PA450']","['PC617', '44', '70', 'PA452']","[16.6, 16.5, 2.6, 2.8]",39.2,4.6,5.7,"[2.7, 1.6, 2.0, 1.5]",95.7,1
